Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83676;18/06/1981;0000;;17.2;;5.1;2.1;;;;
83676;18/06/1981;1200;0.1;;10.3;;;;;;
83676;19/06/1981;0000;;15.2;;0;3.2;;;;
83676;19/06/1981;1200;0;;7.9;;;;;;
83676;20/06/1981;0000;;23.3;;8.1;2.9;;;;
83676;20/06/1981;1200;0;;7.3;;;;;;
83676;21/06/1981;0000;;26.6;;9.7;4.5;18.2;65.5;2.233333;
83676;21/06/1981;1200;0;;11.6;;;;;;
83676;22/06/1981;0000;;28;;9.7;5;19.3;68.25;2.766667;
83676;22/06/1981;1200;0;;12.9;;;;;;
83676;23/06/1981;0000;;27.4;;9.3;4.3;19.82;68.25;2.1;
83676;23/06/1981;1200;0;;15;;;;;;
83676;24/06/1981;0000;;26.2;;5.6;4.4;19.52;60.25;2.466667;
83676;24/06/1981;1200;0;;15;;;;;;
83676;25/06/1981;0000;;23.3;;0.3;4.9;18.34;73;2.4;
83676;25/06/1981;1200;0;;15.4;;;;;;
83676;26/06/1981;0000;;26.1;;8.5;3.5;18.38;66;2.133333;
83676;26/06/1981;1200;0;;14.2;;;;;;
83676;27/06/1981;0000;;26;;10;4.5;18.82;64.75;1.3;
83676;27/06/1981;1200;0;;13.6;;;;;;
83676;28/06/1981;0000;;27.1;;9.6;4.2;19.5;69;2.266667;
83676;28/06/1981;1200;0;;14;;;;;;
83676;29/06/1981;0000;;27.3;;10;4.5;19.88;63.75;2.333333;
83676;29/06/1981;1200;0;;13.5;;;;;;
83676;01/07/1981;0000;;28.5;;9.6;5.3;20.52;64.75;2.566667;
83676;01/07/1981;1200;0;;15;;;;;;
83676;02/07/1981;0000;;27.7;;7.3;6.5;19.42;78.75;3.133333;
83676;02/07/1981;1200;0;;15.1;;;;;;
83676;03/07/1981;0000;;22.3;;9.5;4.9;16.22;63.5;7.733333;
83676;03/07/1981;1200;0;;12.9;;;;;;
83676;04/07/1981;0000;;23;;9.9;8.4;15.34;56.25;5.3;
83676;04/07/1981;1200;0;;9.4;;;;;;
83676;05/07/1981;0000;;22.2;;9.1;8.4;15.38;53.75;6.2;
83676;05/07/1981;1200;0;;10.5;;;;;;
83676;06/07/1981;0000;;21.3;;9.8;7.4;14.96;51.25;5.333333;
83676;06/07/1981;1200;0;;9.8;;;;;;
83676;08/07/1981;0000;;23.1;;9.1;6.8;15.98;58.25;3.933333;
83676;08/07/1981;1200;0;;10.4;;;;;;
83676;09/07/1981;0000;;24;;9.6;5.9;16.98;60.5;3.966667;
83676;09/07/1981;1200;0;;11.4;;;;;;
83676;10/07/1981;0000;;25.2;;7.2;6.1;18.52;59.25;2.566667;
83676;10/07/1981;1200;0;;12.2;;;;;;
83676;11/07/1981;0000;;25.3;;7.6;5.7;18.96;62;2.633333;
83676;11/07/1981;1200;0;;15.3;;;;;;
83676;12/07/1981;0000;;27.5;;8;5.4;19.5;53.25;1.733333;
83676;12/07/1981;1200;0;;14.1;;;;;;
83676;13/07/1981;0000;;27.7;;9.5;6;19.44;52;1.9;
83676;13/07/1981;1200;0;;14;;;;;;
83676;14/07/1981;0000;;28.9;;7.5;7.2;;;;
83676;14/07/1981;1200;0;;15.8;;;;;;
83676;15/07/1981;0000;;29.2;;8.7;6.2;;;;
83676;15/07/1981;1200;0;;16.3;;;;;;
83676;16/07/1981;0000;;28.7;;9.9;6.4;;;;
